title,year,price,id_game
Lost Summoner Kitty,2018,4.99,761140
Ironbound,2018,0.0,643980
Real Pool 3D - Poolians,2017,0.0,670290
弹炸人2222,2017,0.99,767400
Battle Royale Trainer,2018,3.99,772540
SNOW - All Access Basic Pass,2018,9.99,774276
SNOW - All Access Pro Pass,2018,18.99,774277
SNOW - All Access Legend Pass,2018,29.99,774278
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018,10.99,770380
Beach Rules,2018,3.99,768880
Planetarium 2 - Zen Odyssey,2018,2.99,765320
The first thrust of God,2018,1.5899999999999999,773650
SNOW - Starter Pack,2018,14.99,774271
The first thrust of God - All Aircrafts,2018,1.99,773690
SNOW - Lifetime Pack,2018,59.99,774279
The Warrior Of Treasures,2018,0.99,768060
RC Plane 3 - Canyon Scenario,2017,2.99,775880
RC Plane 3 - F-53B,2017,2.99,775881
DinoBlaster,2018,4.99,653960
Carmageddon Max Pack,1997,9.99,282010
Half-Life,1998,9.99,70
Fallen Mage,2016,1.99,752360
Vaporwave Simulator,2018,0.99,766850
Underdone - Soundtrack,2018,8.99,754360
Bitcoin Clicker,2018,0.99,716110
Disciples II: Gallean's Return,2006,6.99,1640
Disciples II: Rise of the Elves,2006,6.99,1630
The Ship: Murder Party,2006,9.99,2400
Souland,2017,7.99,759920
TAROTICA VOO DOO,2017,10.99,603280
Chronicles of Vinland,2017,9.99,753110
Orbitality,2017,9.99,753100
Atomic Adam: Episode 1,2017,1.99,764280
Mirt. Tales of the Cold Land. Chapter 2,2017,0.99,758550
Advent Rising,2005,9.99,3800
DEFCON,2006,9.99,1520
The Ship: Single Player,2006,9.99,2420
Garry's Mod,2006,9.99,4000
RACE - The WTCC Game,2006,39.99,4230
Zen of Sudoku,2006,0.0,4900
Gumboy - Crazy Adventures™,2006,4.99,2520
Ghost Master®,2003,4.99,6200
Vegas: Make It Big™,2006,4.99,6210
Dreamfall: The Longest Journey,2006,19.99,6300
FlatOut 2™,2006,9.99,2990
FlatOut,2005,7.49,6220
Lost Planet™: Extreme Condition,2007,14.99,6510
CivCity: Rome,2006,9.99,3980
Arx Fatalis,2002,4.99,1700
The Longest Journey,2000,9.99,6310
Civilization IV®: Warlords,2006,4.99,3990
Railroad Tycoon 3,2003,9.99,7610
Sid Meier's Railroads!,2006,9.99,7600
Railroad Tycoon II Platinum,1998,4.99,7620
RIP - Trilogy™,2007,4.99,2540
X-COM: Terror From the Deep,1995,4.99,7650
Tomb Raider: Anniversary,2007,8.99,8000
Devil May Cry® 3 Special Edition,2006,19.99,6550
Sam & Max 101: Culture Shock,2006,19.99,8200
Final DOOM,1996,4.99,2290
Sam & Max 102: Situation: Comedy,2006,19.99,8210
Ultimate Doom,1995,4.99,2280
Master Levels for Doom II,1995,14.99,9160
DOOM II,1994,4.99,2300
Wolfenstein 3D,1994,4.99,2270
Return to Castle Wolfenstein,2001,4.99,9010
QUAKE Mission Pack 1: Scourge of Armagon,1997,2.99,9040
Spear of Destiny,1993,2.99,9000
BloodRayne,2003,9.99,3810
QUAKE Mission Pack 2: Dissolution of Eternity,2007,2.99,9030
QUAKE,2007,4.99,2310
Genesis Rising,2007,4.99,3230
"Warhammer® 40,000: Dawn of War® – Winter Assault",2006,12.99,9310
BioShock™,2007,19.99,7670
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006,12.99,4570
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006,12.99,4580
Rome: Total War™ - Collection,2004,9.99,4760
Rome: Total War™ - Alexander,2006,4.99,4770
Mystery Case Files: Madame Fate®,2007,6.99,50970
Manhunt,2004,9.99,12130
Midnight Club 2,2003,9.99,12160
Max Payne 2: The Fall of Max Payne,2003,9.99,12150
Tomb Raider: Legend,2006,6.99,7000
Max Payne,2001,9.99,12140
Command & Conquer: Red Alert 3,2008,19.99,17480
PuzzleQuest: Challenge of the Warlords,2007,9.99,12500
Culpa Innata,2007,9.99,12310
Prison Tycoon 3™: Lockdown,2007,9.99,12510
Hunting Unlimited™ 2008,2007,9.99,12530
18 Wheels of Steel: American Long Haul,2007,9.99,12520
Conflict: Denied Ops,2008,5.99,8100
ARMA: Combat Operations,2007,7.99,2780
Tycoon City: New York,2006,9.99,9730
Desperados 2: Cooper's Revenge,2006,9.99,9710
Death to Spies,2007,4.99,9800
Act of War: High Treason,2006,2.99,9760
RollerCoaster Tycoon® 3: Platinum,2006,19.99,2700
Act of War: Direct Action,2005,2.99,2710
Unreal 2: The Awakening,2003,14.99,13200
Unreal Gold,1998,9.99,13250
Ninja Reflex: Steamworks Edition,2008,4.99,13000
Tom Clancy's Splinter Cell®,2003,9.99,13560
Far Cry®,2004,9.99,13520
Unreal Tournament: Game of the Year Edition,2000,9.99,13240
Tom Clancy's Rainbow Six® Vegas,2006,9.99,13540
Silent Hunter® III,2005,9.99,15210
Virtual Villagers - The Secret City,2008,9.99,16180
Mystery P.I.™ - The Vegas Heist,2008,4.99,3520
Luxor,2008,9.99,15970
Reaxxion,2008,9.99,15950
Little Farm,2008,9.99,15960
7 Wonders II,2008,9.99,15900
Luxor Amun Rising,2005,9.99,15910
Luxor 3,2007,9.99,15930
Petz® Horsez® 2,2007,9.99,15160
Luxor 2,2005,9.99,15920
Rayman Raving Rabbids™,2007,9.99,15080
Silent Hunter®: Wolves of the Pacific,2007,9.99,15200
IL-2 Sturmovik: 1946,2006,9.99,15320
Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008,9.99,15240
Bone: Out From Boneville,2005,9.99,8310
Midnight Outlaw: 6 Hours to SunUp,2005,9.99,12600
Bone: The Great Cow Race,2006,9.99,8320
Sprint Cars Road to Knoxville,2008,9.99,12590
Ride! Carnival Tycoon,2007,9.99,12560
Mahjongg Investigations: Under Suspicion,2007,9.99,12540
Dracula Origin,2008,9.99,11050
Sherlock Holmes - Nemesis,2008,9.99,11040
Eternity's Child,2008,4.99,19500
Pacific Storm Allies,2007,7.99,11260
Tank Universal,2008,4.99,19200
FlatOut: Ultimate Carnage,2008,19.99,12360
Oddworld: Abe's Exoddus®,1998,2.99,15710
Oddworld: Abe's Oddysee®,1997,2.99,15700
GTR Evolution Expansion Pack for RACE 07,2008,7.99,8660
X-COM: Enforcer,2001,4.99,7770
X-COM: Apocalypse,1997,4.99,7660
X-COM: UFO Defense,1993,4.99,7760
S.T.A.L.K.E.R.: Clear Sky,2008,9.99,20510
Crysis Warhead®,2008,19.99,17330
Crysis,2007,19.99,17300
X-COM: Interceptor,1998,4.99,7730
The Witcher: Enhanced Edition Director's Cut,2008,9.99,20900
Multiwinia,2008,9.99,1530
