user_id,year,id_game,recommend,sentiment
76561197970982479,2011.0,1250.0,1.0,2.0
76561197970982479,2011.0,22200.0,1.0,2.0
76561197970982479,2011.0,43110.0,1.0,2.0
js41637,2014.0,251610.0,1.0,2.0
js41637,2013.0,227300.0,1.0,2.0
js41637,2013.0,239030.0,1.0,2.0
evcentric,2015.0,370360.0,1.0,2.0
evcentric,2014.0,237930.0,1.0,2.0
evcentric,2014.0,263360.0,1.0,0.0
evcentric,2014.0,107200.0,1.0,2.0
evcentric,2014.0,224500.0,1.0,2.0
doctr,2013.0,250320.0,1.0,2.0
doctr,2012.0,20920.0,1.0,2.0
doctr,2012.0,204100.0,1.0,2.0
doctr,2014.0,224600.0,1.0,2.0
doctr,2012.0,207610.0,1.0,0.0
doctr,2012.0,108710.0,1.0,2.0
maplemage,2014.0,211420.0,1.0,1.0
maplemage,2013.0,211820.0,1.0,2.0
maplemage,2014.0,730.0,1.0,2.0
maplemage,2013.0,204300.0,1.0,2.0
Wackky,2014.0,249130.0,1.0,1.0
Wackky,2012.0,207610.0,1.0,0.0
Wackky,2012.0,550.0,1.0,2.0
Wackky,2012.0,65800.0,1.0,2.0
Wackky,2012.0,220.0,1.0,2.0
76561198089393905,2015.0,72850.0,1.0,0.0
76561198089393905,2014.0,440.0,1.0,1.0
76561198077246154,2014.0,304930.0,1.0,1.0
WeiEDKrSat,2013.0,4000.0,1.0,1.0
thequeenpanda,2012.0,42910.0,1.0,1.0
death-hunter,2015.0,232090.0,1.0,0.0
death-hunter,2015.0,1250.0,1.0,0.0
death-hunter,2014.0,4000.0,1.0,2.0
DJKamBer,2014.0,304930.0,1.0,2.0
DJKamBer,2013.0,570.0,1.0,2.0
DJKamBer,2015.0,218620.0,1.0,2.0
DJKamBer,2013.0,224260.0,1.0,2.0
DJKamBer,2013.0,1250.0,1.0,0.0
DJKamBer,2012.0,440.0,1.0,0.0
Rainbow-Dashie,2015.0,730.0,1.0,2.0
Rainbow-Dashie,2014.0,440.0,1.0,2.0
Rainbow-Dashie,2014.0,49520.0,1.0,1.0
76561198043472122,2014.0,33440.0,0.0,1.0
MarbleShrine,2015.0,220200.0,1.0,2.0
PPanther,2014.0,211820.0,1.0,2.0
devvonst,2014.0,440.0,1.0,2.0
devvonst,2014.0,218740.0,1.0,2.0
devvonst,2015.0,550.0,1.0,2.0
starkillershadow553,2015.0,238090.0,1.0,2.0
starkillershadow553,2014.0,277430.0,1.0,2.0
76561198058373434,2015.0,8870.0,1.0,2.0
76561198048353577,2015.0,368230.0,1.0,0.0
76561198048353577,2013.0,33930.0,1.0,2.0
76561198066046412,2015.0,359320.0,0.0,0.0
76561198066046412,2015.0,219640.0,1.0,2.0
tru_mu_,2015.0,287980.0,1.0,2.0
76561198070565427,2015.0,208090.0,1.0,0.0
SavageEeEe,2015.0,221100.0,1.0,2.0
76561198076909484,2014.0,570.0,1.0,2.0
KanadeTheNeko,2014.0,331470.0,1.0,2.0
KanadeTheNeko,2014.0,4000.0,1.0,2.0
GoAwayZach,2014.0,304930.0,1.0,2.0
76561198054540475,2015.0,12210.0,1.0,2.0
76561198054540475,2014.0,265210.0,1.0,1.0
76561198054540475,2014.0,48700.0,1.0,2.0
76561198061252210,2015.0,730.0,1.0,2.0
OfficialShroomsy,2013.0,113200.0,1.0,2.0
VVillis,2015.0,213670.0,1.0,1.0
76561198083226897,2015.0,105600.0,1.0,2.0
76561198075277292,2015.0,730.0,1.0,0.0
76561198075277292,2015.0,570.0,1.0,2.0
76561198028895010,2013.0,231180.0,1.0,0.0
76561198028895010,2012.0,620.0,1.0,2.0
diego9031,2015.0,299360.0,1.0,1.0
diego9031,2015.0,322330.0,1.0,1.0
diego9031,2015.0,1250.0,1.0,1.0
diego9031,2015.0,12100.0,1.0,1.0
diego9031,2015.0,204360.0,1.0,2.0
